City,City,Country,Lat,Lng,Humidity,Hotel
98,puerto deseado,AR,-47.7503,-65.8938,30,Los Olmos
99,ixtapa,MX,20.7,-105.2,61,Ma. Cristina
100,bardai,NG,11.65,7.2333,18,No hotel found
101,sanibel,US,26.449,-82.0223,52,Sanibel Moorings
102,ambovombe,MG,-25.1667,46.0833,78,La source
103,basoko,CD,1.2391,23.616,53,No hotel found
104,al ghayzah,YE,16.2079,52.176,78,فندق تاج العرب
105,al qadarif,SD,14.0349,35.3834,12,No hotel found
106,yaren,NR,-0.5472,166.916,73,Aiwo Hotel
107,am timan,TD,11.0297,20.2827,17,Nimla
108,kapoeta,SS,4.7717,33.5903,50,Kuleu
